image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0390.png,0,1,1155,0.853,0.9038,0.8245,0.9047,0.8259,0.8339,0.96
0398.png,0,1,601,0.881,0.9278,0.8654,0.9278,0.8654,0.7876,0.95
0405.png,0,1,967,0.876,0.9346,0.8773,0.9341,0.8763,0.9119,0.96
0407.png,0,1,1909,0.801,0.8876,0.798,0.8873,0.7975,0.7663,0.94
0412.png,0,1,1469,0.851,0.9319,0.8724,0.9315,0.8717,0.8891,0.96
0416.png,0,1,6997,0.891,0.9805,0.9617,0.9804,0.9615,0.9442,0.95
0429.png,0,1,2035,0.902,0.9594,0.9221,0.9592,0.9216,0.925,0.92
0437.png,0,1,8347,0.906,0.9799,0.9606,0.9801,0.961,0.9727,0.95
0438.png,0,1,8508,0.866,0.9685,0.939,0.9685,0.939,0.7625,0.91
0439.png,0,1,2333,0.749,0.9464,0.8982,0.9464,0.8982,0.8438,0.92
0447.png,0,1,1032,0.878,0.9321,0.8728,0.9321,0.8728,0.9096,0.91
0450.png,0,1,532,0.858,0.9146,0.8427,0.9146,0.8427,0.8256,0.91
0451.png,0,1,6380,0.959,0.9439,0.8937,0.9439,0.8937,0.9177,0.92
0456.png,0,1,38,0.703,0.8333,0.7143,0.8169,0.6905,0.678,0.91
0466.png,0,1,2220,0.855,0.9319,0.8725,0.9321,0.8729,0.7899,0.95
0470.png,0,1,2912,0.858,0.9178,0.8481,0.918,0.8484,0.9598,0.96
0475.png,0,1,122,0.733,0.7149,0.5563,0.7182,0.5603,0.5647,1.01
0485.png,0,1,360,0.749,0.8664,0.7643,0.866,0.7637,0.8107,1.02
0494.png,0,1,1572,0.905,0.9477,0.9005,0.9482,0.9016,0.8839,1.08
