image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0134.png,0,1,1992,0.935,0.9491,0.9031,0.9491,0.9031,0.9633,0.94
0136.png,0,4,98,0.917,0.7976,0.6634,0.7976,0.6634,0.7901,0.95
0136.png,1,4,5555,0.968,0.9673,0.9366,0.9673,0.9366,0.9641,0.04
0136.png,2,4,158,0.908,0.8224,0.6983,0.8251,0.7022,0.8239,0.04
0136.png,3,4,103,0.866,0.6098,0.4387,0.6118,0.4408,0.6957,0.04
0143.png,0,1,360,0.949,0.9059,0.8279,0.907,0.8298,0.9257,0.93
0146.png,0,1,152,0.931,0.9317,0.8721,0.9283,0.8663,0.9316,0.91
0164.png,0,3,165,0.896,0.7773,0.6357,0.781,0.6406,0.8194,0.98
0164.png,1,3,1121,0.797,0.5445,0.3741,0.5464,0.3759,0.6527,0.04
0164.png,2,3,292,0.882,0.6838,0.5196,0.6854,0.5214,0.7426,0.04
0177.png,0,1,523,0.885,0.8435,0.7293,0.8435,0.7293,0.9058,0.89
0180.png,0,3,984,0.884,0.6363,0.4666,0.6365,0.4668,0.888,0.94
0180.png,1,3,2053,0.939,0.7917,0.6552,0.7919,0.6554,0.8235,0.04
0180.png,2,3,942,0.92,0.8535,0.7444,0.8558,0.748,0.8862,0.04
0190.png,0,1,1631,0.944,0.6773,0.5121,0.6775,0.5122,0.6923,1.01
0192.png,0,2,2182,0.927,0.9305,0.8701,0.9307,0.8704,0.9563,0.98
0192.png,1,2,1218,0.929,0.9158,0.8446,0.926,0.8622,0.9307,0.05
0201.png,0,1,2641,0.846,0.8479,0.7359,0.849,0.7377,0.949,0.99
0203.png,0,2,1057,0.949,0.8507,0.7401,0.851,0.7407,0.8795,1.01
0203.png,1,2,6290,0.951,0.9405,0.8876,0.9407,0.8881,0.9733,0.04
0208.png,0,1,2756,0.929,0.9306,0.8702,0.9306,0.8702,0.9445,0.9
0211.png,0,1,3910,0.788,0.8066,0.6759,0.8076,0.6773,0.4193,0.96
0213.png,0,1,2269,0.946,0.9528,0.9099,0.953,0.9103,0.9587,0.94
0217.png,0,1,2058,0.939,0.9636,0.9297,0.963,0.9287,0.9595,0.98
0233.png,0,1,285,0.893,0.877,0.7809,0.8784,0.7831,0.9091,1.01
0235.png,0,1,898,0.878,0.8424,0.7277,0.8432,0.7289,0.9536,0.96
0245.png,0,1,74,0.847,0.3541,0.2151,0.3549,0.2157,0.4494,0.99
0251.png,0,1,192,0.935,0.8258,0.7033,0.8258,0.7033,0.861,1.01
0256.png,0,1,2498,0.941,0.949,0.9029,0.949,0.9029,0.9617,0.96
0259.png,0,3,1168,0.925,0.8776,0.7818,0.8779,0.7824,0.8881,0.99
0259.png,1,3,1272,0.916,0.7473,0.5965,0.7518,0.6023,0.858,0.05
0259.png,2,3,329,0.926,0.7706,0.6268,0.7684,0.6239,0.7361,0.05
0262.png,0,1,853,0.924,0.892,0.8051,0.892,0.8051,0.9214,0.98
0276.png,0,1,1146,0.892,0.7887,0.6511,0.7893,0.6519,0.8986,1.05
0278.png,0,1,558,0.935,0.9103,0.8353,0.911,0.8366,0.957,1.05
0284.png,0,1,735,0.945,0.9436,0.8933,0.9436,0.8933,0.9516,1.01
0289.png,0,1,1025,0.939,0.8979,0.8148,0.8983,0.8154,0.9334,1.01
0291.png,0,1,1569,0.946,0.95,0.9048,0.95,0.9048,0.9492,0.97
0300.png,0,2,5270,0.973,0.9784,0.9577,0.9785,0.9579,0.9795,0.99
0300.png,1,2,637,0.95,0.9104,0.8355,0.9104,0.8355,0.9239,0.04
0301.png,0,2,738,0.913,0.8292,0.7083,0.8297,0.7089,0.8867,0.94
0301.png,1,2,2271,0.953,0.9619,0.9266,0.9619,0.9266,0.9661,0.05
0303.png,0,2,553,0.917,0.8558,0.748,0.8571,0.75,0.8889,1.0
0303.png,1,2,2016,0.94,0.9432,0.8925,0.9432,0.8924,0.9406,0.04
0322.png,0,1,543,0.93,0.9533,0.9108,0.9533,0.9108,0.9463,1.02
0326.png,0,1,15858,0.953,0.8974,0.8138,0.8972,0.8136,0.8857,0.99
0334.png,0,4,73,0.753,0.7547,0.6061,0.7595,0.6122,0.7432,1.0
